customer_id,total_revenue,total_transactions,total_quantity,avg_transaction_value,customer_segment,frequency_group
g0l3rtz5,117.4,2,9,58.7,High Value,Occasional (2-3)
cy2c11bd,109.56,3,14,36.52,High Value,Occasional (2-3)
gb205hu0,91.0,2,10,45.5,High Value,Occasional (2-3)
zvvmi177,84.6,1,6,84.6,High Value,One-time (1)
164bckbr,82.8,1,6,82.8,High Value,One-time (1)
zuumcnjy,81.0,1,5,81.0,High Value,One-time (1)
x3kl5x1x,80.0,1,5,80.0,High Value,One-time (1)
ga9ta76n,79.89,2,7,39.945,High Value,Occasional (2-3)
za4aeijt,75.0,1,5,75.0,High Value,One-time (1)
azmh5ajf,75.0,1,4,75.0,High Value,One-time (1)
vwhholi5,75.0,4,14,18.75,High Value,Frequent (4-7)
g6ooh1xa,74.91,2,12,37.455,High Value,Occasional (2-3)
8y64sn7w,73.52,1,4,73.52,High Value,One-time (1)
nlppxd35,71.25,1,5,71.25,High Value,One-time (1)
qgdd1bsv,66.15,1,9,66.15,High Value,One-time (1)
97xo485d,65.48,2,8,32.74,High Value,Occasional (2-3)
s38yr19s,64.8,1,5,64.8,High Value,One-time (1)
0q7xwio6,64.8,1,4,64.8,High Value,One-time (1)
thjy43lx,63.75,1,4,63.75,High Value,One-time (1)
nnz8gpwp,61.5,1,5,61.5,High Value,One-time (1)
mw04u923,61.5,1,5,61.5,High Value,One-time (1)
arbkabl1,61.2,1,6,61.2,High Value,One-time (1)
a374ceio,60.91,1,6,60.91,High Value,One-time (1)
p35t54gy,60.779999999999994,4,9,15.194999999999999,High Value,Frequent (4-7)
rb9opllv,59.35,4,16,14.8375,High Value,Frequent (4-7)
cxz2ei92,59.04,4,15,14.76,High Value,Frequent (4-7)
x7fv5djr,59.04,1,6,59.04,High Value,One-time (1)
a9pxnekr,58.8,1,4,58.8,High Value,One-time (1)
lfqf5e8o,57.599999999999994,3,10,19.2,High Value,Occasional (2-3)
7mhxofkc,57.32,2,8,28.66,High Value,Occasional (2-3)
aeyid7lv,56.4,1,4,56.4,High Value,One-time (1)
nfzod7ek,56.4,1,4,56.4,High Value,One-time (1)
ytuagdl1,55.93,3,10,18.643333333333334,High Value,Occasional (2-3)
l5b56bnv,55.709999999999994,2,10,27.854999999999997,High Value,Occasional (2-3)
ot8hljef,55.42,3,5,18.473333333333333,High Value,Occasional (2-3)
mf1tqz3k,55.2,1,4,55.2,High Value,One-time (1)
9zoolxkj,55.14,1,3,55.14,High Value,One-time (1)
9rh7ab4k,55.04,1,8,55.04,High Value,One-time (1)
raayq7n1,54.45,1,9,54.45,High Value,One-time (1)
tqatbaue,53.46,1,9,53.46,High Value,One-time (1)
0z9ts3dx,53.43,1,3,53.43,High Value,One-time (1)
osoow1rw,52.38,1,5,52.38,High Value,One-time (1)
aqvkizzq,52.019999999999996,3,13,17.34,High Value,Occasional (2-3)
q4wr0npb,51.0,1,5,51.0,High Value,One-time (1)
spxlseun,51.0,1,5,51.0,High Value,One-time (1)
oehczsvd,49.5,1,3,49.5,High Value,One-time (1)
13j2e8gz,49.2,1,4,49.2,High Value,One-time (1)
pfbyc1bc,48.58,1,7,48.58,High Value,One-time (1)
bwaufxqp,48.0,1,3,48.0,High Value,One-time (1)
41tcm9j6,48.0,1,3,48.0,High Value,One-time (1)
at67zfpt,47.13,1,3,47.13,High Value,One-time (1)
um45qi5w,47.04,1,8,47.04,High Value,One-time (1)
b4jgrxoz,47.0,3,8,15.666666666666666,High Value,Occasional (2-3)
w9myyoke,46.93,3,12,15.643333333333333,High Value,Occasional (2-3)
txw1vzc7,46.6,3,6,15.533333333333333,High Value,Occasional (2-3)
nxgni03r,46.56,1,4,46.56,High Value,One-time (1)
ng0apsal,46.05,3,9,15.35,High Value,Occasional (2-3)
k94w6wuu,46.0,3,6,15.333333333333334,High Value,Occasional (2-3)
7dypmlva,45.36,4,4,11.34,High Value,Frequent (4-7)
dxpx2ooy,45.12,1,4,45.12,High Value,One-time (1)
1cao8w81,45.0,1,3,45.0,High Value,One-time (1)
x5aibdxh,45.0,1,3,45.0,High Value,One-time (1)
9owwew9v,44.599999999999994,4,15,11.149999999999999,High Value,Frequent (4-7)
1r11q7uw,44.36,2,8,22.18,High Value,Occasional (2-3)
3xb1cmqo,44.1,1,6,44.1,High Value,One-time (1)
v5u4pr4z,43.65,1,3,43.65,High Value,One-time (1)
rimmdwot,43.32,1,4,43.32,High Value,One-time (1)
b7l8v1zo,43.14,2,12,21.57,High Value,Occasional (2-3)
6hcn86s2,42.75,1,3,42.75,High Value,One-time (1)
mxhgrygq,42.75,1,3,42.75,High Value,One-time (1)
w2d0gz4u,42.75,1,3,42.75,High Value,One-time (1)
fx4u4jrc,42.34,1,4,42.34,High Value,One-time (1)
swhibz3k,42.32,1,8,42.32,High Value,One-time (1)
