hour,revenue,transactions,quantity,avg_transaction
0,2076.77,369,525,5.62810298102981
1,1181.58,182,277,6.4921978021978015
2,891.24,165,232,5.401454545454546
3,1112.49,205,273,5.426780487804878
4,1231.42,203,294,6.066108374384237
5,2226.73,386,558,5.768730569948187
6,5368.0199999999995,924,1346,5.809545454545454
7,14921.35,1834,3700,8.135959651035988
8,18213.56,2243,4603,8.120178332590282
9,15379.18,1879,3856,8.184768493879723
10,13201.53,1550,3252,8.517116129032258
11,7916.67,1376,1982,5.753393895348837
12,8200.5,1124,2048,7.295818505338079
13,6631.8,919,1677,7.216322089227421
14,6504.06,1162,1653,5.597297762478486
15,8776.23,1481,2197,5.925881161377448
16,7559.75,1296,1885,5.833140432098766
17,5599.87,966,1403,5.796966873706004
18,3345.35,576,820,5.807899305555555
19,2153.41,375,531,5.742426666666666
20,1144.63,197,286,5.810304568527919
21,1066.69,194,276,5.49840206185567
22,1196.32,204,305,5.864313725490196
23,1110.12,190,274,5.842736842105262
