product_name,total_quantity,total_revenue,transaction_count,avg_unit_price,qty_rank,rev_rank,txn_rank
Blueberry Muffin,1093,3150.27,640,2.912828125,6,20,4
Chicken & Avocado Wrap,995,6153.62,605,6.287355371900826,19,2,15
Chocolate Chip Cookie,981,1870.23,583,1.945780445969125,20,34,19
Coffee Mug,456,5197.39,261,11.6727969348659,37,5,37
Croissant,1137,2712.26,664,2.4190060240963858,3,28,1
Double Espresso,1120,3125.61,650,2.8303076923076924,4,22,2
Ham & Cheese Croissant,1043,5476.39,625,5.326912,12,4,11
Large Americano,1039,3431.27,593,3.3470826306913994,15,18,17
Large Berry Blast,695,4192.54,403,6.149503722084368,31,12,31
Large Cappuccino,1079,4761.95,629,4.472114467408585,8,7,10
Large Chai Latte,731,3409.43,427,4.723185011709602,25,19,27
Large Earl Grey,660,2054.61,413,3.1641646489104116,34,32,30
Large Green Tea,732,2257.42,428,3.1205841121495324,24,31,25
Large Iced Coffee,248,958.4499999999999,140,3.8964285714285714,38,39,38
Large Latte,1041,4597.09,602,4.4585215946843855,13,8,16
Large Matcha Latte,734,3648.73,428,5.059976635514019,23,16,25
Large Mocha,957,4778.44,576,5.081059027777778,21,6,20
Large Pumpkin Spice Latte,227,1251.0,129,5.586744186046511,40,38,40
Large Tropical Mango,129,766.5699999999999,74,5.982432432432432,42,42,42
Medium Americano,1067,3066.88,634,2.9135488958990536,10,23,8
Medium Berry Blast,728,3869.7799999999997,431,5.352436194895592,26,14,24
Medium Cappuccino,1163,4475.58,650,3.903061538461538,1,9,2
Medium Chai Latte,772,3129.77,433,4.1,22,21,23
Medium Earl Grey,687,1835.21,374,2.7248395721925136,32,35,34
Medium Green Tea,721,1937.96,450,2.727577777777778,27,33,22
Medium Iced Coffee,236,795.0699999999999,139,3.418705035971223,39,41,39
Medium Latte,1041,4022.11,632,3.9068670886075947,13,13,9
Medium Matcha Latte,667,2849.17,400,4.33975,33,25,33
Medium Mocha,1013,4405.62,623,4.393820224719101,18,11,12
Medium Pumpkin Spice Latte,197,955.98,123,4.870569105691057,41,40,41
Medium Tropical Mango,124,662.29,70,5.404428571428571,43,43,43
Scone,1103,2316.5,637,2.1212244897959183,5,30,5
Single Espresso,1087,3032.44,622,2.808906752411575,7,24,13
Small Americano,1054,2739.83,616,2.6390422077922078,11,27,14
Small Cappuccino,1032,3532.04,586,3.4775938566552904,16,17,18
Small Chai Latte,698,2541.85,401,3.7037406483790525,30,29,32
Small Earl Grey,720,1732.8,417,2.430599520383693,29,36,29
Small Green Tea,599,1430.86,368,2.432092391304348,35,37,35
Small Latte,1068,3670.04,635,3.497622047244094,9,15,7
Small Matcha Latte,721,2794.29,424,3.901367924528302,27,26,28
Small Mocha,1146,4438.59,637,3.9510361067503923,2,10,5
Tote Bag,484,7021.45,277,14.650830324909748,36,1,36
Vegan Falafel Wrap,1028,5959.89,551,5.865426497277677,17,3,21
